"time","h_wspd_1","h_wspd_2","h_wspd_3","h_wspd_4","h_wspd_5","h_wspd_6","h_wdir_1","h_wdir_2","h_wdir_3","h_wdir_4","h_wdir_5","h_wdir_6","file_date"
1,6.26783332652516,7.45605555825763,7.71270834121439,8.21091667811076,7.28368055992656,6.09368055648274,-33.4068333231078,-27.1622360973888,-27.665013885498,-31.4034861222903,-33.1697083330154,-34.0064027931955,2016-01-01
2,5.3271666750643,5.69274999750985,5.9561666586664,6.29047223197089,5.80324999875493,4.88305555151569,-34.7417777615123,-28.9345000060399,-29.0116388816966,-32.3750000026491,-33.5195833312141,-34.6170833248562,2016-01-01
3,4.93741665932867,5.15605555713177,5.55691666609711,5.89638889577654,5.52072223305702,4.79527777446641,-39.7674444405238,-33.4255833196288,-33.8661666733647,-36.4068055605371,-37.4909444323513,-38.2968611347675,2016-01-01
4,6.02313889781634,6.78922222799725,7.14255557550324,7.47855556329091,6.86758333974414,5.93533333672418,-32.6125277747048,-26.576166662905,-27.3113333345784,-31.0776111131244,-31.6763055361642,-31.594249995682,2016-01-01
5,5.88712500472864,6.57826388729943,6.90341666718324,7.21170834501584,6.63381944285499,5.85083333286974,-31.552361102634,-24.3405555703905,-25.5747361071904,-29.9437500010596,-30.5307638904783,-30.7704861007796,2016-01-01
6,5.93999999721845,6.674805558655,6.95236111693912,7.27316667570008,6.74277778440052,6.02116665912999,-33.5403055683772,-27.4696388790343,-27.35475000302,-31.6568055364821,-31.8642499947548,-31.3427222193612,2016-01-01
7,5.49819444881545,6.16527778069178,6.50586111413108,6.88794444375568,6.21283333566454,5.20483332826032,-37.9505555947622,-30.7969166462951,-31.1805555644549,-36.3240277666516,-37.7086388807827,-37.8946666789055,2016-01-01
8,6.28480555256208,7.13486111614439,7.34763890385628,7.59005556901296,6.94447222338782,6.00563888808091,-41.7816666269302,-38.4351666349835,-37.9864999900924,-41.4925833182865,-41.7724721998639,-41.2598333043522,2016-01-01
9,6.5168333237701,7.53341667029593,7.66227778567208,8.05627779483795,7.38530557407273,6.41936111781332,-41.2703888495763,-38.0895555331972,-36.5402222045263,-40.2391111156676,-40.6421944316228,-41.2514444091585,2016-01-01
10,5.7313333231873,6.6634166791704,6.89933333555857,7.21738890038596,6.51961112260819,5.39472222659323,-40.9648333215713,-37.3012222174141,-35.6223333167699,-38.8503611111641,-40.0503333475855,-42.1827777671814,2016-01-01
11,4.954500018292,5.73125000562933,5.85102778130107,6.06788889606794,5.53666666368643,4.40202776783042,-50.193083337148,-46.6174444892671,-44.542305521965,-47.0771944480472,-49.7040555604299,-49.5801389087571,2016-01-01
12,6.470722221401,8.17805557052294,8.08900001009305,8.44541668600506,7.57427778244019,6.20575000127157,-46.806555557251,-45.0251388989555,-43.666583304935,-46.0284166680442,-46.832999991311,-47.5400833543142,2016-01-01
13,7.20450000418557,8.44175001793437,8.41102779838774,8.64211112525728,8.04922224296464,7.04450001306004,-55.4048333263397,-53.9554166497125,-52.7359166410234,-53.8806111028459,-54.169555571874,-53.7534722158644,2016-01-01
14,6.40169443819258,7.13358334236675,7.14619445496135,7.37155556692017,7.02166667580605,6.23163888904783,-61.4198055224948,-60.0130833085378,-58.926138865153,-59.8642222595215,-60.382722258038,-59.8796111361186,2016-01-01
15,7.14761112120416,8.20580556458897,8.09888890226682,8.23497223695119,7.68097223175897,6.70725000090069,-54.0610833411747,-53.3168888960944,-52.3175277794732,-53.3671666738722,-53.569888888465,-53.1050555674235,2016-01-01
16,5.6652500043975,6.70700000882149,6.64525000400013,6.76466667148802,6.17911110964086,5.06372222191758,-52.1488610781564,-50.9585555850135,-50.9253333202998,-52.7246388573117,-54.7500277471542,-55.8130277543598,2016-01-01
17,6.4382500035233,8.14951390557819,7.85334722214275,8.05986112157504,7.15445833537314,5.84779167479939,-60.4971110889647,-58.9413888380263,-59.0494722498788,-59.6142916668786,-62.0387499968211,-63.845944436921,2016-01-01
18,7.36427779515584,8.93658333261808,8.53991666767332,8.76147222571903,8.02526390088929,6.86779167658753,-62.5826666688919,-61.1807638904783,-60.9826388602787,-62.2391250371933,-64.2526944404178,-65.7850278234482,2016-01-01
19,7.57694446351793,9.17616667045487,8.89536111831665,8.99238889389568,8.24163890666432,6.91094445175595,-56.5756666405996,-55.2873888842265,-55.3378611193763,-56.4133888583713,-58.0695555506812,-60.3994721783532,2016-01-01
20,9.09436112893952,11.2638611102104,10.9573888822397,11.0847500019603,10.3634166680442,7.83025001115269,-58.5555555682712,-57.4974166520437,-57.6866944705115,-58.1611388927036,-59.7008611371782,-61.3858055506812,2016-01-01
21,9.24691667980618,10.819750008848,10.8781389000681,10.9620000031259,10.3388611135218,7.73930556390021,-46.2199166753557,-44.8698888773388,-44.9790555312898,-45.9587778017256,-47.6545277558433,-49.5767499950197,2016-01-01
22,7.8812500082122,8.61547222892443,8.9514166756471,9.17986111773385,8.46402778863907,6.44900000015895,-49.7253610971239,-46.6134166447322,-47.1072500096427,-48.6253611066606,-50.0852499739329,-52.6764722188314,2016-01-01
23,6.99872223218282,7.36588890234629,7.74358333322737,7.94066668152809,7.34763890253173,5.74938889132606,-51.6521666844686,-48.8652499787013,-48.8336666589313,-49.9522222179837,-51.253027759658,-54.1749166531033,2016-01-01
24,6.64613889270359,6.90644445074929,7.30694444550408,7.51730557203293,7.00377778384421,5.62833333015442,-57.5388055589464,-54.7072499799728,-55.1889999702242,-56.3528055657281,-57.1412500227822,-58.757472225825,2016-01-01
1,6.98972223189142,7.35570835418171,7.79979168832302,8.15362500720554,7.76538891249233,6.44950000060929,-52.6093472343021,-49.1682222143809,-49.7599722205268,-51.1713611136542,-51.429208345943,-52.9409722312291,2016-01-02
2,8.36313889993562,9.29311111569405,9.58363889137904,10.0313333418634,9.50813888457086,7.42516668955485,-54.6993888897366,-51.1512777784136,-51.7819166427188,-53.4452222061157,-53.997694472207,-56.6570833513472,2016-01-02
3,7.85391668664085,8.53138888716698,8.91994444158342,9.37333333320088,8.91008333749241,6.4103611169921,-46.8266111103694,-42.76191666868,-43.6201944600211,-45.6382777754466,-45.6695833237966,-48.7241666603088,2016-01-02
4,6.14694443768925,6.14986110885938,6.65697222563956,7.00933334416813,6.53855555560854,4.84119443992774,-47.0257499774297,-41.4292777691947,-43.0911388678021,-44.9305833482742,-44.2195555623372,-48.5486110877991,2016-01-02
5,5.10125000476837,4.7100555514627,5.3273055530919,5.66161112123066,5.41111111680667,4.39402777254581,-49.1035555489858,-41.5686388953527,-43.2903333364593,-44.9506389019224,-44.6136666780048,-50.3781111187405,2016-01-02
6,4.91677776641316,4.48375000092718,5.0079166730245,5.22691666947471,4.95983333004845,4.02969443731838,-57.4526944234636,-52.6081388743718,-54.612138871087,-56.4224999978807,-56.471277774175,-61.2391944005754,2016-01-02
7,5.41449999133746,5.16275000015895,5.63813889589575,5.94911111540265,5.71113888568348,4.71208334472444,-50.6553611029519,-44.1825277860959,-45.5976666688919,-46.7710555585225,-45.7766666746139,-49.5269166533152,2016-01-02
8,5.56158332851198,5.38194443967607,5.77491666740841,5.9861666627725,5.6584444530805,4.60083332704173,-46.8839167012109,-42.645527794626,-43.4179444599152,-43.795944442749,-42.4081944513321,-43.97274998241,2016-01-02
9,5.54993054793941,5.38488889800178,5.76538888778951,5.9328750101063,5.58515276836024,4.4914999939998,-50.1983055808809,-46.2308333375719,-46.6144166692098,-46.8790972063276,-45.9096250009537,-48.829333337148,2016-01-02
10,5.31950000935131,5.17869444390138,5.55661111527019,5.77283333659172,5.52727776315477,4.64108333859179,-39.2253888988495,-34.0749722066149,-35.2231388876173,-36.3271944317553,-36.1189999881056,-39.898888909022,2016-01-02
11,4.74225000162919,4.46613888349798,4.82308333032661,4.98630555762185,4.78716665811009,4.02941665318277,-33.0091666620308,-28.0273333480126,-27.9319444255034,-28.2732222221957,-27.0942222185267,-29.3163333255715,2016-01-02
12,4.717583337956,4.50597221665912,4.90374999523163,5.09502777285046,4.97375000927183,4.3238611000114,-32.0504444562064,-29.9844722162353,-30.4952499847942,-30.8629166438844,-31.2970555247201,-33.8700000137753,2016-01-02
13,4.41261110987928,4.08041666004393,4.47805555303891,4.70072223636839,4.59527777579096,4.02663888355096,-39.6816666783227,-37.174666677316,-36.6520277751817,-36.4816944085227,-36.1048055765364,-37.7563333426582,2016-01-02
14,4.41291666004393,4.0780555421114,4.54780555400583,4.77752778569857,4.67294445726607,4.10719442698691,-41.3187777784136,-38.9361944723129,-38.4704444562064,-38.0486944463518,-37.6177221981684,-40.2725000005298,2016-01-02
15,4.67069444351726,4.36583333604866,4.74569443722566,4.88619443747732,4.75800000104639,4.18883333014117,-51.3342221742206,-49.8702777920829,-49.5843333413866,-49.1418055921131,-49.1198611264759,-52.2166111267938,2016-01-02
16,5.04616667283906,4.83444444404708,5.190611113641,5.31255555709203,5.11216666294469,4.44683332615428,-57.9153333791097,-55.4190555890401,-56.0471944400999,-57.3595833449894,-57.4655833318498,-59.6469444333182,2016-01-02
17,5.40847221910954,5.26205555346277,5.56716666440169,5.64241666555405,5.46872221953339,4.74755554500553,-71.3713888846503,-70.1711666997274,-70.2953888712989,-70.4949444823795,-71.0817222690582,-74.1426110998789,2016-01-02
18,5.85777777791023,5.78723610381285,6.13693055013816,6.26022222353352,6.01718055612511,5.02048611521721,-78.697194454405,-77.155194457372,-77.277999979655,-77.4567083358765,-78.2230695141686,-81.2761110242208,2016-01-02
19,6.00019444425901,5.93080556141006,6.33811110801167,6.52925000150998,6.3053333375189,5.27702777352598,-85.3445000055101,-83.832527762519,-84.0204721938239,-84.2036111301846,-84.9603888840145,-88.3350277773539,2016-01-02
20,6.50963888578945,6.54833333558506,6.93369444277551,7.08983334236675,6.71166667209731,5.44069443464279,-85.4768333964878,-83.2014722156525,-83.5446945148044,-84.0771110746596,-84.8450833405389,-88.7492778248257,2016-01-02
21,6.25155555248261,6.25919446057743,6.70708334684372,6.97969444923931,6.62119444171588,5.21249999331103,-81.585805522071,-77.7620833428701,-78.7579999711778,-80.0600833564334,-80.748222222858,-84.4822778013017,2016-01-02
22,6.90300001210637,7.12200001107322,7.50830555624432,7.79425000190735,7.34636113511191,5.5707499967681,-75.1878888289134,-69.4390833462609,-71.4105555386013,-73.2539722283681,-73.6314722008175,-77.6786388429006,2016-01-02
23,6.79638889604145,6.98075000683467,7.37341667850812,7.64163889924685,7.27941666907734,5.71355555037657,-79.7219721624586,-75.8557500362396,-77.8715555742052,-79.5153888903724,-79.9042222415076,-83.09430560112,2016-01-02
24,5.02369443734487,4.6450277850363,5.15344444731871,5.40786111500528,5.14730555375417,3.9801111089521,-81.5007777796851,-74.089972225825,-77.0435278256734,-79.3352778244019,-79.4498055595822,-84.5882777584924,2016-01-02
1,5.81952776961856,5.62430555621783,6.15244444608688,6.45651389300823,6.11052777621481,4.80533333089617,-89.7400694656372,-85.8599028078715,-87.7939583418104,-89.3182916206784,-89.6841944291857,-93.7639027807448,2016-01-03
2,6.8978055551317,7.0409999941455,7.46977780275875,7.74152778983116,7.33583334061835,5.76155555182033,-97.5679722425673,-95.406833313836,-96.5313055780199,-97.4183055941264,-97.6929722277323,-100.416999973721,2016-01-03
3,6.57005555987358,6.59452777928776,7.04763888623979,7.32249999960264,6.94075000259611,5.46491667071978,-105.007472201453,-103.674194427066,-104.610083342658,-105.781888840993,-106.403305555979,-109.509083351559,2016-01-03
