"time","h_wspd_1","h_wspd_2","h_wspd_3","h_wspd_4","h_wspd_5","h_wspd_6","h_wdir_1","h_wdir_2","h_wdir_3","h_wdir_4","h_wdir_5","h_wdir_6","file_date","avg_pressure","avg_temp","avg_humidity","avg_dew_point"
1,6.56270775919711,7.56146875636445,7.66694676502711,7.92240799575492,7.28729398834485,6.05339988607499,-47.1237569378703,-43.7658680475157,-43.5163622610073,-45.8345376168667,-47.0012650430175,-47.8954074061358,"2016-01-01",1020.295,8.85,65.85,2.8
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.32,8.6,65.7,2.6
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.45,8.4,64.8,2.2
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.56,8.3,65.2,2.2
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.37,8.2,65.6,2.1
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.57,8.1,66.1,2.2
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.67,8,65.9,2
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.07,7.9,66.8,2.1
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.86,7.7,66.8,1.9
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.01,7.6,66.3,1.7
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.93,7.5,65.5,1.4
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.04,7.3,65.6,1.3
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021.02,7.2,66.1,1.3
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021,7.1,66,1.2
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.92,7.1,66.7,1.3
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.83,7.1,65.4,1
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.87,7,64.5,0.7
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.81,6.9,65,0.8
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.81,6.8,65.2,0.8
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.82,6.8,66,0.9
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.58,6.7,66.2,0.8
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.31,6.7,67.1,1
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.21,6.5,66.5,0.7
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,6.4,67,0.7
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.79,6.2,67,0.6
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.79,6.2,67.5,0.6
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.08,6.2,68.7,0.9
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.88,6.2,69.5,1
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.86,6.1,68.2,0.7
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.8,6,67.7,0.5
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020.11,6,68.2,0.6
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.8,5.9,69.4,0.7
33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.78,5.8,68.9,0.6
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.51,5.8,68.4,0.4
