time,h_wspd_1,h_wspd_2,h_wspd_3,h_wspd_4,h_wspd_5,h_wspd_6,h_wdir_1,h_wdir_2,h_wdir_3,h_wdir_4,h_wdir_5,h_wdir_6,file_date,avg_pressure,avg_temp,avg_humidity,avg_dew_point
1,6.27,7.46,7.71,8.21,7.28,6.09,-33.41,-27.16,-27.67,-31.40,-33.17,-34.01,2016-01-01,1020.4,8.4,65.5,2.4
2,5.33,5.69,5.96,6.29,5.80,4.88,-34.74,-28.93,-29.01,-32.38,-33.52,-34.62,2016-01-01,1020.9,7.7,66.2,1.7
3,4.94,5.16,5.56,5.90,5.52,4.80,-39.77,-33.43,-33.87,-36.41,-37.49,-38.30,2016-01-01,1020.9,7.1,65.6,1.1
4,6.02,6.79,7.14,7.48,6.87,5.94,-32.61,-26.58,-27.31,-31.08,-31.68,-31.59,2016-01-01,1020.5,6.7,66.3,0.8
5,5.89,6.58,6.90,7.21,6.63,5.85,-31.55,-24.34,-25.57,-29.94,-30.53,-30.77,2016-01-01,1019.9,6.2,68.1,0.7
6,5.94,6.67,6.95,7.27,6.74,6.02,-33.54,-27.47,-27.35,-31.66,-31.86,-31.34,2016-01-01,1019.7,5.8,68.2,0.4
7,5.50,6.17,6.51,6.89,6.21,5.20,-37.95,-30.80,-31.18,-36.32,-37.71,-37.89,2016-01-01,1019.6,5.5,67.1,-0.1
8,6.28,7.13,7.35,7.59,6.94,6.01,-41.78,-38.44,-37.99,-41.49,-41.77,-41.26,2016-01-01,1020.0,5.2,70.8,0.4
9,6.52,7.53,7.66,8.06,7.39,6.42,-41.27,-38.09,-36.54,-40.24,-40.64,-41.25,2016-01-01,1020.0,5.1,69.7,0.0
10,5.73,6.66,6.90,7.22,6.52,5.39,-40.96,-37.30,-35.62,-38.85,-40.05,-42.18,2016-01-01,1019.8,4.8,67.4,-0.7
11,4.95,5.73,5.85,6.07,5.54,4.40,-50.19,-46.62,-44.54,-47.08,-49.70,-49.58,2016-01-01,1020.0,4.6,66.5,-1.1
12,6.47,8.18,8.09,8.45,7.57,6.21,-46.81,-45.03,-43.67,-46.03,-46.83,-47.54,2016-01-01,1019.7,4.7,66.5,-1.0
13,7.20,8.44,8.41,8.64,8.05,7.04,-55.40,-53.96,-52.74,-53.88,-54.17,-53.75,2016-01-01,1020.0,4.7,67.7,-0.8
14,6.40,7.13,7.15,7.37,7.02,6.23,-61.42,-60.01,-58.93,-59.86,-60.38,-59.88,2016-01-01,1020.0,4.6,68.2,-0.8
15,7.15,8.21,8.10,8.23,7.68,6.71,-54.06,-53.32,-52.32,-53.37,-53.57,-53.11,2016-01-01,1020.2,4.7,68.1,-0.7
16,5.67,6.71,6.65,6.76,6.18,5.06,-52.15,-50.96,-50.93,-52.72,-54.75,-55.81,2016-01-01,1019.8,4.7,65.2,-1.4
17,6.44,8.15,7.85,8.06,7.15,5.85,-60.50,-58.94,-59.05,-59.61,-62.04,-63.85,2016-01-01,1018.9,5.0,65.0,-1.1
18,7.36,8.94,8.54,8.76,8.03,6.87,-62.58,-61.18,-60.98,-62.24,-64.25,-65.79,2016-01-01,1017.9,5.4,66.5,-0.4
