time,h_wspd_1,h_wspd_2,h_wspd_3,h_wspd_4,h_wspd_5,h_wspd_6,h_wdir_1,h_wdir_2,h_wdir_3,h_wdir_4,h_wdir_5,h_wdir_6,file_date,avg_pressure,avg_temp,avg_humidity,avg_dew_point
1,7.339,7.920,8.194,8.216,7.933,7.079,-68.260,-94.168,-131.443,-153.447,-154.081,-146.018,2015-05-31,1019.7,21.5,94.7,20.6
1,8.946,9.565,9.851,9.903,9.681,8.606,-150.108,-152.593,-151.844,-152.057,-151.354,-149.270,2015-06-01,1018.2,21.8,93.7,20.7
1,6.414,6.781,7.081,7.324,7.197,6.646,-72.165,-79.069,-88.377,-87.666,-100.878,-112.813,2015-06-02,1016.3,21.4,93.2,20.3
1,8.011,7.937,8.132,8.142,7.912,6.595,34.589,37.975,41.466,41.505,41.245,45.016,2015-06-03,1016.8,20.5,98.4,20.2
1,7.164,7.208,7.161,7.493,7.814,7.797,78.643,82.074,84.043,84.825,84.532,83.529,2015-06-04,1017.9,20.9,97.5,20.5
1,6.160,6.155,6.429,5.835,5.347,3.995,1.066,4.946,6.176,1.110,11.268,-5.520,2015-06-05,1015.9,18.5,98.3,18.3
1,4.184,4.350,4.607,4.822,4.780,4.446,-29.479,-25.994,-23.145,-24.072,-27.887,-35.396,2015-06-06,1012.9,18.9,93.4,17.8
1,5.554,5.982,6.269,6.234,5.829,5.166,55.996,58.336,60.210,60.452,57.448,62.360,2015-06-07,1019.3,19.5,80.5,15.9
1,7.556,8.110,8.531,8.679,8.162,7.155,-32.328,-44.738,-49.016,-56.339,-60.596,-70.811,2015-06-08,1018.1,20.6,81.4,17.2
1,9.985,10.637,11.227,11.492,11.224,10.316,-129.701,-127.627,-126.048,-125.168,-124.673,-124.996,2015-06-09,1010.9,22.0,89.6,20.2
1,4.940,5.418,5.796,6.091,6.101,5.733,-35.104,-41.706,-39.750,-47.749,-55.270,-53.845,2015-06-10,1012.1,22.5,88.1,20.4
1,8.233,8.746,9.152,9.071,8.508,7.316,-128.985,-128.114,-127.519,-127.952,-134.463,-130.832,2015-06-11,1014.9,23.0,94.8,22.1
1,9.998,10.756,11.389,11.385,10.517,9.276,-142.652,-139.923,-138.177,-136.865,-135.698,-131.877,2015-06-12,1015.9,24.0,91.6,22.6
1,7.568,8.038,8.246,8.159,7.768,6.486,-106.516,-103.209,-99.472,-95.992,-92.387,-85.382,2015-06-13,1015.0,24.9,89.5,23.0
1,3.917,4.051,4.196,4.170,3.946,3.407,-5.775,-9.963,-11.231,-13.505,-12.767,-5.665,2015-06-14,1016.7,25.3,89.8,23.5
1,4.864,4.808,4.703,4.448,3.954,3.105,-50.942,-50.453,-47.660,-45.123,-78.044,-75.855,2015-06-15,1016.3,25.5,96.3,24.8
1,6.238,6.066,5.722,5.621,5.448,4.990,-83.032,-92.320,-89.087,-86.239,-83.283,-79.573,2015-06-16,1014.4,26.8,86.8,24.4
1,7.029,7.400,7.658,7.812,7.787,7.415,11.275,12.228,12.809,13.548,14.174,16.275,2015-06-17,1016.9,25.0,80.2,21.3
1,4.793,4.892,4.962,4.991,5.008,4.922,-20.215,-23.759,-33.402,-44.238,-48.410,-44.114,2015-06-18,1017.0,24.7,86.1,22.2
1,5.573,5.792,5.896,5.879,5.706,5.671,-106.880,-104.684,-102.273,-98.426,-95.187,-87.768,2015-06-19,1014.9,26.2,82.9,23.0
1,6.242,6.601,6.820,6.919,6.828,6.675,-146.226,-144.750,-142.844,-139.561,-135.914,-127.242,2015-06-20,1015.7,26.0,83.5,23.0
1,8.876,9.524,10.065,10.502,10.613,10.399,-104.783,-110.612,-113.578,-116.726,-119.392,-119.675,2015-06-21,1011.6,26.2,84.9,23.5
1,6.318,6.710,6.926,6.952,6.707,6.513,-11.641,-9.300,-7.754,-7.251,-9.743,-21.930,2015-06-22,1015.3,26.5,80.6,22.9
1,9.424,10.026,10.340,10.367,10.079,9.433,-147.099,-144.768,-142.843,-141.374,-140.322,-137.656,2015-06-23,NA,26.2,89.9,24.4
1,6.175,6.478,6.653,6.695,6.494,6.039,-51.726,-50.093,-48.844,-49.243,-52.320,-55.290,2015-06-24,1015.8,25.3,84.4,22.4
1,3.931,4.040,4.104,4.080,3.960,3.758,-15.705,-15.415,-16.287,-14.714,-13.217,-14.697,2015-06-25,1017.9,25.5,67.8,19.1
1,7.527,7.705,7.889,7.970,7.856,7.293,-57.150,-58.237,-58.446,-58.555,-58.841,-57.545,2015-06-26,1013.7,24.2,84.3,21.3
1,8.742,9.058,9.340,9.529,9.521,9.216,54.717,53.602,53.452,51.213,46.153,41.110,2015-06-27,1013.3,24.3,86.6,21.9
1,8.219,8.651,8.951,9.066,8.858,8.155,-106.752,-106.396,-106.180,-106.252,-106.616,-107.292,2015-06-28,1007.6,25.1,78.2,20.9
1,3.516,3.689,3.826,3.864,3.721,3.016,-5.399,-6.267,-6.812,-9.479,-12.720,-13.714,2015-06-29,1014.3,24.5,56.9,15.3
1,6.775,7.126,7.339,7.544,7.569,6.736,4.966,-1.188,-9.812,-15.260,-18.140,-34.221,2015-06-30,1013.9,25.1,83.1,22.0
1,7.785,8.250,8.528,8.608,8.560,7.629,-122.723,-121.503,-120.317,-119.401,-119.665,-118.025,2015-07-01,1012.1,25.7,75.8,21.1
1,7.310,7.654,7.841,8.000,7.918,7.826,-121.921,-120.880,-119.627,-118.291,-116.796,-113.814,2015-07-02,1011.9,25.9,83.6,22.9
1,4.632,4.763,4.835,4.844,4.800,4.570,42.385,42.381,42.399,42.099,41.838,42.430,2015-07-03,1013.4,23.6,79.9,19.9
1,7.162,7.381,7.527,7.546,7.342,8.989,-20.400,-24.157,-27.438,-31.557,-32.609,-29.052,2015-07-04,1012.1,25.1,83.5,22.1
1,4.877,4.954,5.052,5.135,5.063,4.662,18.439,18.994,19.458,19.845,19.440,18.653,2015-07-05,1018.2,24.9,84.0,22.0
1,6.110,6.320,6.510,6.594,6.527,6.251,-48.441,-50.745,-52.431,-54.206,-57.514,-61.515,2015-07-06,1019.6,25.4,89.2,23.5
1,8.675,9.118,9.427,9.531,9.429,8.978,-142.207,-140.874,-139.485,-138.236,-137.090,-134.424,2015-07-07,NA,25.9,87.7,23.7
1,9.762,10.350,10.768,10.978,11.012,10.356,-125.972,-124.806,-123.691,-122.764,-122.092,-119.605,2015-07-08,NA,26.6,85.7,24.0
1,8.229,8.646,8.929,9.053,8.989,8.696,-115.707,-113.227,-110.967,-108.906,-107.030,-103.251,2015-07-09,1016.3,26.7,82.9,23.6
1,8.237,8.775,9.202,9.521,9.616,9.389,-57.460,-56.187,-55.259,-54.788,-54.766,-52.230,2015-07-10,1015.2,27.3,78.4,23.1
1,4.283,4.396,4.473,4.480,4.337,4.103,41.979,39.619,37.970,37.994,34.018,42.832,2015-07-11,1017.0,25.9,78.2,21.8
1,7.454,7.637,7.751,7.766,7.612,7.152,51.762,51.989,52.291,52.362,52.233,53.461,2015-07-12,1016.2,24.8,79.1,20.9
1,3.874,3.901,3.958,3.977,3.816,3.798,45.286,42.730,41.689,43.705,43.513,46.409,2015-07-13,1012.9,25.2,75.0,20.5
1,7.900,8.231,8.470,8.518,8.344,7.837,-136.822,-136.527,-136.082,-135.718,-135.307,-134.346,2015-07-14,1006.3,25.6,82.5,22.4
1,7.435,7.888,8.217,8.390,8.394,7.927,-98.159,-96.843,-95.968,-95.416,-95.082,-93.376,2015-07-15,1004.0,26.6,77.6,22.3
1,6.973,7.130,7.219,7.236,7.149,6.887,12.008,11.942,12.024,11.735,11.009,10.959,2015-07-16,1013.2,24.4,81.9,21.1
1,5.274,5.311,5.360,5.382,5.310,5.153,114.255,114.388,114.628,114.279,113.511,113.284,2015-07-17,1017.8,24.9,74.1,20.0
1,5.593,5.703,5.803,5.880,5.862,5.707,-50.754,-49.128,-49.138,-50.632,-51.246,-58.012,2015-07-18,NA,25.7,75.6,21.0
1,5.574,5.818,5.973,6.050,5.956,5.634,-123.614,-123.456,-122.630,-122.211,-121.448,-117.623,2015-07-19,1013.0,26.2,83.6,23.2
1,7.719,8.073,8.268,8.369,8.212,7.743,-130.389,-128.459,-126.312,-124.261,-122.037,-117.125,2015-07-20,1009.0,27.1,85.4,24.4
1,7.456,7.932,8.284,8.564,8.562,8.150,-112.105,-110.449,-108.909,-107.824,-106.725,-104.590,2015-07-21,1005.4,28.0,85.0,25.2
1,5.912,6.099,6.277,6.218,6.008,5.324,5.804,5.043,4.676,3.431,2.511,1.351,2015-07-22,1008.7,26.6,71.0,20.8
1,3.329,3.010,3.052,3.048,3.041,3.203,-94.091,-84.531,-87.616,-88.169,-90.396,-100.225,2015-07-23,1013.9,26.3,62.1,18.4
1,4.142,3.906,3.945,3.830,3.764,3.828,30.014,48.226,52.800,46.778,34.228,30.648,2015-07-24,1013.6,26.0,59.9,17.4
1,3.383,3.058,3.061,2.942,2.988,3.279,47.037,49.060,48.368,47.295,45.928,48.695,2015-07-25,1015.2,26.0,54.5,16.1
1,4.250,4.142,4.043,4.060,3.999,3.944,57.691,69.206,66.976,80.991,77.884,27.992,2015-07-26,1016.4,26.0,59.9,17.6
1,5.374,5.507,5.594,5.459,5.308,30.190,-132.222,-128.353,-124.394,-123.618,-124.310,-81.482,2015-07-27,1016.2,26.7,71.0,21.0
1,4.509,4.598,4.732,4.706,4.607,14.398,-115.064,-115.337,-115.073,-115.909,-116.772,-84.766,2015-07-28,1016.3,26.7,72.2,21.3
1,4.386,4.498,4.614,4.608,4.471,4.189,-120.887,-118.210,-115.484,-110.067,-104.681,-104.144,2015-07-29,1016.2,26.9,74.5,22.0
1,5.728,5.848,5.976,6.061,6.013,5.833,-25.614,-22.578,-20.091,-15.931,-9.719,-9.706,2015-07-30,1014.2,27.3,78.9,23.3
1,6.665,6.820,6.955,7.029,6.968,6.690,-44.695,-44.902,-44.904,-45.349,-45.567,-44.978,2015-07-31,1012.0,27.2,73.2,21.8
1,5.105,5.168,5.219,5.229,5.164,4.963,-130.335,-129.637,-128.745,-128.227,-127.989,-127.209,2015-08-01,1012.5,27.3,69.5,21.1
1,3.617,3.689,3.793,3.883,3.904,3.759,-43.973,-46.145,-47.790,-43.281,-38.371,-33.498,2015-08-02,1012.5,27.3,81.0,23.7
1,6.607,6.686,6.731,6.703,6.594,6.330,-101.612,-101.663,-101.742,-101.004,-100.063,-101.418,2015-08-03,1012.7,26.9,80.1,23.2
1,10.526,10.878,11.194,11.369,11.350,11.089,-128.622,-128.306,-127.869,-127.456,-127.106,-126.000,2015-08-04,1014.0,27.0,82.8,23.8
1,6.532,6.763,7.032,7.067,7.040,7.062,-69.449,-67.806,-65.768,-63.060,-58.238,-50.235,2015-08-05,1013.7,26.6,84.7,23.8
1,4.678,4.764,4.873,4.982,4.906,4.769,59.288,62.529,67.808,77.650,90.394,105.157,2015-08-06,1012.8,27.0,80.5,23.3
1,3.726,3.727,3.747,3.789,3.733,3.530,-35.123,-35.706,-35.932,-36.289,-35.599,-32.498,2015-08-07,1008.9,25.5,79.6,21.7
1,3.747,3.836,3.917,3.937,3.880,3.761,-8.246,-9.065,-9.316,-9.744,-10.222,-7.585,2015-08-13,NA,24.9,74.2,19.9
1,3.324,3.398,3.436,3.379,3.246,3.273,59.432,59.113,58.845,57.579,56.182,54.558,2015-08-14,1021.0,24.9,64.9,17.8
1,1.967,2.060,2.112,2.105,2.033,2.011,60.267,66.278,66.958,65.674,59.000,46.125,2015-08-15,1021.0,24.6,56.5,15.4
1,1.911,2.105,2.188,2.195,2.103,1.906,39.704,44.581,48.276,46.689,42.194,45.800,2015-08-16,1021.1,24.6,63.8,17.2
1,3.993,4.229,4.319,4.290,4.120,3.796,-88.583,-88.814,-88.616,-85.625,-82.707,-77.353,2015-08-17,1020.1,25.6,72.4,20.2
1,6.578,6.935,7.174,7.287,7.067,6.630,-155.047,-154.854,-154.534,-154.452,-154.272,-153.670,2015-08-18,1017.3,26.2,79.3,22.3
1,4.025,4.199,4.367,4.436,4.363,4.160,-47.791,-47.808,-50.332,-55.637,-59.535,-49.145,2015-08-19,1015.9,26.5,84.3,23.6
1,6.293,6.366,6.467,6.547,6.501,6.148,-53.302,-59.532,-68.646,-75.780,-84.443,-105.869,2015-08-20,1014.3,26.5,85.1,23.8
1,6.305,6.464,6.542,6.511,6.194,5.790,17.519,15.062,11.332,7.387,1.185,-11.163,2015-08-21,1014.7,26.0,85.5,23.4
1,8.394,8.610,8.688,8.717,8.529,7.987,11.860,11.865,11.931,11.845,11.681,12.291,2015-08-22,1016.7,25.6,76.7,21.2
1,6.563,6.960,7.027,6.921,6.452,5.756,11.000,10.225,9.747,8.952,8.477,8.979,2015-08-23,1015.3,25.4,57.7,16.4
1,2.707,2.792,2.871,2.750,2.660,2.598,-65.048,-74.199,-73.856,-76.314,-70.854,-63.503,2015-08-24,1013.3,25.5,60.8,17.4
1,4.252,4.605,4.708,4.697,4.459,4.184,-102.574,-103.848,-105.238,-107.632,-108.507,-109.454,2015-08-25,1012.1,25.9,76.2,21.4
1,4.964,5.169,5.254,5.204,5.013,4.674,29.482,29.510,29.357,28.921,27.949,26.644,2015-08-26,1013.9,25.9,70.0,19.8
1,6.817,7.350,7.501,7.472,7.049,6.201,33.555,32.800,32.503,31.953,31.739,32.619,2015-08-27,1017.3,24.8,61.9,16.9
1,5.312,5.596,5.743,5.688,5.383,4.516,38.963,37.245,36.378,35.634,35.413,36.554,2015-08-28,1020.7,24.5,59.9,16.2
1,4.687,4.958,5.219,5.077,4.561,3.906,79.005,77.851,76.408,75.554,75.706,79.159,2015-08-29,1022.6,24.9,58.7,16.3
1,3.383,3.358,3.490,3.431,3.465,3.318,66.555,60.757,60.446,60.242,63.541,69.367,2015-08-30,1020.2,25.2,67.5,18.8
1,3.870,3.788,3.865,3.778,3.860,3.649,-113.927,-115.017,-115.824,-116.501,-117.429,-114.897,2015-08-31,1019.7,25.2,75.9,20.6
1,2.165,2.212,2.261,2.249,2.215,2.297,-33.508,-30.874,-27.829,-28.182,-28.673,-44.427,2015-09-01,1017.8,25.2,80.5,21.6
1,3.461,3.530,3.615,3.653,3.627,3.468,-115.659,-114.951,-113.174,-111.361,-110.182,-103.877,2015-09-02,1016.6,26.0,82.1,22.7
1,4.707,4.796,4.902,4.928,4.808,4.429,-75.202,-74.505,-73.740,-73.468,-73.189,-70.386,2015-09-03,1012.7,25.8,78.4,21.7
1,5.765,5.958,6.120,6.175,6.047,5.720,-14.877,-13.501,-12.330,-11.636,-11.174,-11.173,2015-09-04,1013.7,26.6,80.8,23.0
1,10.596,10.831,11.031,11.121,10.967,10.313,58.646,58.447,58.425,58.309,58.319,58.854,2015-09-05,1018.6,26.0,74.9,21.2
1,9.129,9.312,9.478,9.556,9.401,8.996,66.210,66.072,66.070,66.162,66.515,68.069,2015-09-06,1020.0,25.4,78.0,21.2
1,4.925,4.940,4.973,5.004,4.927,4.731,74.453,74.745,75.109,74.970,74.642,75.415,2015-09-07,1019.7,25.1,77.6,20.9
1,4.011,4.049,4.112,4.165,4.121,4.113,30.388,33.431,35.440,36.863,36.797,28.581,2015-09-08,NA,25.9,88.3,23.8
1,5.934,6.130,6.328,6.464,6.567,6.074,-132.104,-128.830,-129.053,-128.339,-127.786,-133.671,2015-09-09,1014.9,26.0,87.3,23.8
1,6.774,7.079,7.372,7.502,7.423,6.988,-125.026,-124.404,-124.289,-124.353,-125.161,-123.990,2015-09-10,1009.7,26.5,85.7,23.9
1,6.243,6.457,6.624,6.666,6.418,5.904,-52.919,-53.346,-53.764,-54.016,-55.207,-52.130,2015-09-11,1008.2,24.3,78.9,20.3
1,6.532,6.822,6.984,6.978,6.636,6.266,15.404,14.068,14.007,13.020,11.277,11.026,2015-09-12,1008.1,25.3,75.5,20.6
1,6.518,6.947,7.239,7.143,6.852,5.991,-70.013,-70.948,-71.056,-71.355,-71.727,-69.115,2015-09-13,1007.8,23.4,74.2,18.5
1,5.728,6.288,6.614,6.487,6.055,4.441,-40.789,-42.580,-43.935,-44.607,-43.809,-46.171,2015-09-14,NA,21.3,49.1,10.1
1,2.477,2.482,2.520,2.477,2.393,1.886,-59.770,-61.043,-59.120,-60.062,-61.884,-57.603,2015-09-15,1026.5,23.1,46.7,11.1
1,2.003,2.158,2.233,2.192,2.067,1.967,-26.456,-29.442,-30.995,-31.675,-31.259,-33.547,2015-09-16,1026.9,23.4,56.7,14.3
1,2.411,2.461,2.506,2.493,2.444,2.605,82.384,81.130,80.524,78.980,77.719,72.296,2015-09-17,1022.3,23.4,67.4,17.0
1,3.991,4.087,4.149,4.121,4.012,3.699,89.834,88.615,87.855,87.024,86.433,86.272,2015-09-18,1017.2,24.1,73.5,19.0
1,4.191,4.291,4.398,4.456,4.464,4.189,115.553,115.376,115.632,115.695,116.030,118.082,2015-09-19,1014.1,25.1,78.8,21.2
1,5.216,5.298,5.363,5.358,5.270,4.873,52.408,51.448,51.103,50.681,50.665,51.789,2015-09-20,1012.6,24.7,81.5,21.3
1,10.161,10.423,10.583,10.533,10.204,9.462,55.322,55.047,54.965,54.911,54.925,55.648,2015-09-21,1015.8,24.0,76.8,19.6
1,10.839,11.113,11.324,11.045,10.479,12.205,44.536,44.149,44.198,44.590,45.455,42.269,2015-09-22,1017.7,23.9,79.9,20.1
1,12.194,12.612,12.892,12.612,11.732,10.104,29.756,29.931,29.697,29.695,29.711,34.380,2015-09-23,1019.0,23.0,78.8,19.1
1,11.179,11.692,11.926,11.839,11.262,10.067,55.370,55.235,55.180,55.164,54.265,53.121,2015-09-24,1020.4,22.9,69.7,17.0
1,12.270,12.807,13.120,13.082,12.617,11.601,72.899,72.670,72.755,72.811,72.701,73.259,2015-09-25,1020.5,23.4,74.2,18.5
1,13.224,13.813,14.166,14.220,13.675,12.338,65.283,65.819,65.977,65.448,64.914,66.155,2015-09-26,1021.2,23.0,77.8,18.9
1,11.798,12.508,12.962,13.142,13.003,12.277,68.401,69.713,70.684,71.376,72.069,73.033,2015-09-27,1022.4,23.1,82.6,20.0
1,7.940,8.740,9.165,9.138,8.283,6.727,79.473,82.794,86.040,88.562,90.147,92.692,2015-09-28,1019.8,23.4,88.6,21.4
1,9.150,9.943,10.581,10.898,10.509,8.893,111.514,114.976,118.250,121.455,125.355,129.590,2015-09-29,1014.7,23.8,91.3,22.3
1,7.105,7.300,7.547,7.695,7.423,6.634,-116.672,-116.025,-124.661,-118.076,-115.898,-115.365,2015-09-30,1008.3,23.9,94.8,23.0
1,11.359,11.692,11.826,11.817,11.632,11.097,22.174,26.214,28.759,30.192,29.894,27.530,2015-10-01,1009.0,22.3,93.5,21.2
1,17.169,17.929,18.325,18.004,16.888,16.180,33.972,34.787,34.833,34.050,36.699,39.268,2015-10-02,NA,20.8,91.4,19.3
1,10.985,11.535,12.045,12.484,12.745,12.847,81.297,83.508,85.688,88.036,90.116,92.317,2015-10-03,1011.4,23.0,89.6,21.2
1,17.668,18.351,18.782,18.910,18.602,17.342,53.898,54.627,54.828,54.521,53.361,58.394,2015-10-04,1013.2,21.8,87.6,19.6
1,14.544,15.717,16.048,15.382,13.488,12.841,30.098,31.245,31.244,29.384,31.390,60.849,2015-10-05,1014.6,19.6,84.4,16.9
1,10.331,11.129,11.395,10.980,9.661,10.973,23.804,25.454,24.576,21.399,23.084,32.873,2015-10-06,1015.1,18.6,77.3,14.5
1,3.787,4.201,4.400,4.304,3.617,2.661,11.110,6.646,1.985,1.592,4.920,13.269,2015-10-07,1015.8,19.5,70.4,13.9
1,2.529,2.760,2.842,2.836,2.317,1.709,15.206,17.353,15.343,12.838,11.514,13.894,2015-10-08,1019.2,20.4,74.9,15.8
1,6.031,6.984,7.307,7.135,5.926,4.828,-129.098,-126.986,-122.687,-109.123,-113.016,-92.733,2015-10-09,1017.7,21.3,77.1,17.1
1,7.761,8.573,9.085,8.699,7.426,4.486,-8.452,-8.734,-9.566,-10.450,-11.270,1.368,2015-10-10,1015.7,19.4,77.1,15.3
