time,h_wspd_1,h_wspd_2,h_wspd_3,h_wspd_4,h_wspd_5,h_wspd_6,h_wdir_1,h_wdir_2,h_wdir_3,h_wdir_4,h_wdir_5,h_wdir_6,file_date,avg_pressure,avg_temp,avg_humidity,avg_dew_point
1,7.63,8.49,8.92,9.03,8.77,7.74,176.30,96.71,-112.14,-175.72,-177.30,-174.88,2015-05-31,1020.21,21.28,92.44,20.00
2,7.36,8.35,8.93,9.17,8.94,7.95,174.67,171.50,76.27,-154.71,-147.67,38.27,2015-05-31,1020.16,21.03,92.43,19.77
3,8.16,9.22,9.76,10.01,9.88,9.16,76.99,-12.29,-102.74,-163.74,-168.30,-170.01,2015-05-31,1020.26,21.13,91.52,19.72
4,7.74,8.61,9.16,9.45,9.40,8.82,-164.76,-161.56,-159.85,-159.25,-159.71,-161.30,2015-05-31,1020.47,21.23,92.13,19.93
5,7.82,8.72,9.30,9.62,9.52,8.88,-160.34,-158.35,-157.29,-157.14,-158.15,-159.90,2015-05-31,1020.49,20.82,95.92,20.13
6,7.29,8.35,9.08,9.36,9.19,8.38,-156.47,-153.20,-151.62,-151.90,-153.64,-156.29,2015-05-31,1020.42,20.73,97.42,20.32
7,7.46,8.49,9.06,9.01,8.48,7.25,-154.01,-150.85,-149.33,-150.28,-152.16,-152.87,2015-05-31,1020.17,20.77,97.35,20.32
8,6.88,7.85,8.45,8.43,7.91,6.45,-147.94,-144.35,-142.48,-142.63,-143.48,-145.06,2015-05-31,1019.90,20.78,96.67,20.22
9,6.75,7.50,7.71,7.30,6.60,5.20,-141.42,-138.91,-136.89,-135.96,-135.45,-135.21,2015-05-31,1019.92,20.65,97.22,20.18
10,6.19,6.49,6.51,6.20,5.68,4.75,-141.77,-138.72,-136.93,-136.39,-135.50,-133.55,2015-05-31,1019.83,20.60,97.52,20.20
11,5.70,6.00,6.12,6.01,5.75,5.03,-144.62,-141.27,-139.04,-137.99,-136.43,-134.05,2015-05-31,1020.15,20.78,96.85,20.28
12,5.91,6.10,6.18,6.38,6.45,6.05,-140.15,-137.74,-134.96,-133.23,-132.55,-131.85,2015-05-31,1020.46,20.92,95.82,20.22
13,6.09,6.33,6.40,6.50,6.48,6.50,-138.05,-135.42,-132.70,-132.05,-132.03,-132.22,2015-05-31,1020.49,20.93,95.98,20.28
14,5.96,6.23,6.34,6.45,6.45,6.32,-130.17,-127.60,-126.05,-126.36,-126.40,-125.21,2015-05-31,1020.52,21.05,95.98,20.40
15,5.36,5.45,5.50,5.56,5.45,5.22,-140.68,-136.46,-133.58,-133.28,-133.35,-133.48,2015-05-31,1020.46,21.33,95.55,20.60
16,5.51,5.43,5.34,5.33,5.22,4.96,-153.50,-150.68,-147.11,-144.92,-143.74,-142.48,2015-05-31,1020.51,21.58,95.48,20.85
17,6.09,6.02,5.83,5.65,5.51,5.25,-160.94,-159.80,-157.92,-155.94,-153.51,-150.09,2015-05-31,1020.47,21.87,95.27,21.08
18,7.88,7.95,7.82,7.57,7.24,6.45,-171.66,-170.42,-170.05,-170.34,-170.14,-167.07,2015-05-31,1020.09,22.15,94.25,21.17
19,8.41,8.53,8.33,7.95,7.60,6.30,-175.30,-174.40,-174.26,-174.70,-174.85,-170.24,2015-05-31,1019.49,22.32,94.05,21.33
20,8.56,9.10,9.13,8.85,8.54,7.31,-10.35,-155.98,-176.53,-175.68,-164.28,-176.07,2015-05-31,1018.79,22.47,93.82,21.43
21,8.99,9.75,10.11,10.18,9.71,8.07,139.84,92.52,-30.23,-150.68,-176.43,-173.48,2015-05-31,1018.09,22.65,92.77,21.43
22,9.38,10.21,10.67,10.88,10.41,9.02,177.65,75.69,-125.09,-170.50,-174.47,-171.48,2015-05-31,1017.78,22.73,93.28,21.58
23,9.59,10.51,11.03,11.21,10.69,9.46,160.82,27.10,-160.40,-176.43,-175.35,-173.67,2015-05-31,1017.41,22.80,91.70,21.35
24,9.42,10.42,10.96,11.09,10.53,9.36,-112.36,-175.54,-173.69,-172.89,-173.05,-172.25,2015-05-31,1017.39,22.57,91.73,21.12
1,9.47,10.39,11.00,11.36,11.11,10.37,-175.94,-173.34,-171.36,-169.99,-170.13,-169.03,2015-06-01,1017.47,22.06,93.48,20.95
2,9.55,10.42,11.08,11.57,11.46,10.85,-173.22,-171.28,-169.98,-168.82,-169.23,-167.21,2015-06-01,1018.02,22.05,93.20,20.90
3,9.85,10.69,11.28,11.65,11.58,10.97,-170.56,-168.61,-167.36,-166.37,-166.56,-163.66,2015-06-01,1018.91,22.08,92.37,20.78
4,9.87,10.70,11.23,11.52,11.37,10.78,-162.75,-161.25,-160.36,-158.99,-158.11,-153.62,2015-06-01,1018.97,21.92,92.58,20.67
5,9.51,10.24,10.63,10.68,10.34,9.60,-160.68,-159.03,-157.41,-155.09,-153.71,-148.54,2015-06-01,1019.00,21.63,93.50,20.52
6,9.68,9.99,10.03,10.05,9.97,9.66,-159.45,-156.65,-154.61,-152.56,-151.77,-147.78,2015-06-01,1018.88,21.53,94.60,20.62
7,9.82,10.23,10.45,10.52,10.27,9.92,-157.09,-154.11,-151.67,-149.57,-149.54,-146.77,2015-06-01,1018.62,21.38,94.82,20.50
8,8.75,9.35,9.79,10.01,9.84,8.99,-151.36,-148.13,-145.63,-144.14,-143.66,-143.89,2015-06-01,1018.48,21.25,95.35,20.47
9,8.39,9.15,9.60,9.56,9.14,7.61,-150.24,-146.12,-142.94,-141.72,-141.54,-143.96,2015-06-01,1018.36,21.05,95.85,20.38
10,7.67,8.40,8.61,8.19,7.68,6.06,-140.79,-136.81,-134.68,-134.33,-134.02,-135.16,2015-06-01,1018.56,20.98,95.67,20.27
11,7.02,7.58,7.87,7.73,7.37,5.73,-130.81,-127.27,-125.24,-124.69,-124.75,-126.74,2015-06-01,1018.89,20.83,95.65,20.12
12,7.27,7.73,7.81,7.58,7.33,6.55,-127.88,-125.80,-124.63,-123.83,-122.71,-121.57,2015-06-01,1019.18,20.95,95.28,20.18
13,7.78,8.01,7.91,7.73,7.78,7.84,-131.50,-129.85,-128.17,-126.88,-125.77,-124.54,2015-06-01,1019.24,21.07,95.67,20.33
14,7.71,7.93,8.00,8.06,8.15,8.14,-131.44,-129.34,-127.16,-125.60,-124.70,-124.41,2015-06-01,1019.17,21.22,95.60,20.50
15,7.54,7.82,7.82,7.89,7.99,7.41,-138.75,-137.76,-136.22,-135.62,-135.10,-132.06,2015-06-01,1018.99,21.42,95.37,20.65
